itemid,value,valuenum,valueuom,warning,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
226512,39.4,39.4,kg,0.0,Admission Weight (Kg),Admission Weight (Kg),chartevents,General,kg,Numeric,,
226707,60,60.0,Inch,0.0,Height,Height,chartevents,General,Inch,Numeric,,
226730,152,152.0,cm,0.0,Height (cm),Height (cm),chartevents,General,cm,Numeric,,
220048,SR (Sinus Rhythm),,,0.0,Heart Rhythm,Heart Rhythm,chartevents,Routine Vital Signs,,Text,,
224642,Oral,,,0.0,Temperature Site,Temp Site,chartevents,Routine Vital Signs,,Text,,
224650,,,,0.0,Ectopy Type 1,Ectopy Type 1,chartevents,Routine Vital Signs,,Text,,
223761,98.7,98.7,°F,0.0,Temperature Fahrenheit,Temperature F,chartevents,Routine Vital Signs,°F,Numeric,,
220179,84,84.0,mmHg,0.0,Non Invasive Blood Pressure systolic,NBPs,chartevents,Routine Vital Signs,mmHg,Numeric,,
220180,48,48.0,mmHg,0.0,Non Invasive Blood Pressure diastolic,NBPd,chartevents,Routine Vital Signs,mmHg,Numeric,,
220181,56,56.0,mmHg,0.0,Non Invasive Blood Pressure mean,NBPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
220045,91,91.0,bpm,0.0,Heart Rate,HR,chartevents,Routine Vital Signs,bpm,Numeric,,
220210,24,24.0,insp/min,0.0,Respiratory Rate,RR,chartevents,Respiratory,insp/min,Numeric,,
220277,98,98.0,%,0.0,O2 saturation pulseoxymetry,SpO2,chartevents,Respiratory,%,Numeric,,
223781,Yes,,,0.0,Pain Present,Pain Present,chartevents,Pain/Sedation,,Text,,
223782,Aching,,,0.0,Pain Type,Pain Type,chartevents,Pain/Sedation,,Text,,
223783,Abdominal,,,0.0,Pain Location,Pain Location,chartevents,Pain/Sedation,,Text,,
223784,At Rest,,,0.0,Pain Cause,Pain Cause,chartevents,Pain/Sedation,,Text,,
223791,Moderate to Severe.,7.0,,0.0,Pain Level,Pain Level,chartevents,Pain/Sedation,,Text,,
223794,Yes,,,0.0,Pain Level Acceptable,Pain Level Acceptable,chartevents,Pain/Sedation,,Text,,
223795,Patient Verbalized,,,0.0,Pain Assessment Method,Pain Assessment Method,chartevents,Pain/Sedation,,Text,,
223796,,,,0.0,Untoward Effect,Untoward Effect,chartevents,Pain/Sedation,,Text,,
220046,120,120.0,bpm,0.0,Heart rate Alarm - High,HR Alarm - High,chartevents,Alarms,bpm,Numeric,,
220047,60,60.0,bpm,0.0,Heart Rate Alarm - Low,HR Alarm - Low,chartevents,Alarms,bpm,Numeric,,
223751,160,160.0,mmHg,0.0,Non-Invasive Blood Pressure Alarm - High,NBP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
223752,80,80.0,mmHg,0.0,Non-Invasive Blood Pressure Alarm - Low,NBP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
223769,100,100.0,%,0.0,O2 Saturation Pulseoxymetry Alarm - High,SpO2 Alarm - High,chartevents,Alarms,%,Numeric,,
223770,92,92.0,%,0.0,O2 Saturation Pulseoxymetry Alarm - Low,SpO2 Alarm - Low,chartevents,Alarms,%,Numeric,,
224161,35,35.0,insp/min,0.0,Resp Alarm - High,Resp Alarm - High,chartevents,Alarms,insp/min,Numeric,,
224162,8,8.0,insp/min,0.0,Resp Alarm - Low,Resp Alarm - Low,chartevents,Alarms,insp/min,Numeric,,
224168,1,1.0,,0.0,Parameters Checked,Parameters Checked,chartevents,Alarms,,Checkbox,,
224641,1,1.0,,0.0,Alarms On,Alarms On,chartevents,Alarms,,Checkbox,,
226253,88,88.0,%,0.0,SpO2 Desat Limit,SpO2 Desat Limit,chartevents,Alarms,%,Numeric,,
227240,Systolic,,,0.0,NBP Alarm Source,NBP Alarm Source,chartevents,Alarms,,Text,,
228305,1,1.0,,0.0,ST Segment Monitoring On,ST Segment Monitoring On,chartevents,Alarms,,Checkbox,,
223834,2,2.0,L/min,0.0,O2 Flow,O2 Flow,chartevents,Respiratory,L/min,Numeric,,
226732,Nasal cannula,,,0.0,O2 Delivery Device(s),O2 Delivery Device(s),chartevents,Respiratory,,Text,,
227944,3 rails up,,,0.0,Side Rails,Side Rails,chartevents,Restraint/Support Systems,,Text,,
227969,Adequate lighting,,,0.0,Safety Measures,Safety Measures,chartevents,Restraint/Support Systems,,Text,,
224023,Children,,,0.0,Support Systems,Support Systems,chartevents,Restraint/Support Systems,,Text,,
224024,Family Talked to MD,,,0.0,Family Communication,Family Communication,chartevents,Restraint/Support Systems,,Text,,
224073,Activity,,,0.0,Education Topic,Education Topic,chartevents,Restraint/Support Systems,,Text,,
224076,Altered LOC,,,0.0,Education Barrier,Education Barrier,chartevents,Restraint/Support Systems,,Text,,
224077,Explanation,,,0.0,Education Method,Education Method,chartevents,Restraint/Support Systems,,Text,,
224079,Needs reinforcement,,,0.0,Education Response,Education Response,chartevents,Restraint/Support Systems,,Text,,
227341,Yes,25.0,,0.0,History of falling (within 3 mnths),History of falling (within 3 mnths)*,chartevents,Restraint/Support Systems,,Text,,
227342,Yes,15.0,,0.0,Secondary diagnosis,Secondary diagnosis,chartevents,Restraint/Support Systems,,Text,,
